id,category,app_name,website,docs_url,one_line_description,auth_methods,credential_access,self_serve_status,api_surface,mcp_available,buildability,main_blocker,evidence_urls,confidence,verification_notes
1,CRM and Sales,Salesforce,https://www.salesforce.com,https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_what_is_api.htm,Enterprise customer relation management and sales automation platform.,"OAuth 2.0 (JWT Bearer flow, Web Server flow)","Self-serve developer org creation, but production access requires administrator setup.",mixed,"REST API, SOAP API, Bulk API, Streaming API, Metadata API",Official MCP,Buildable,Enterprise administrator configuration and JWT certificate setup requirements.,"https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_what_is_api.htm, https://developer.salesforce.com/blogs/2025/02/announcing-salesforce-hosted-mcp-servers",Medium,Verified hosted Salesforce MCP server announcement and REST API OAuth flows.
2,CRM and Sales,HubSpot,https://www.hubspot.com,https://developers.hubspot.com/docs/api/overview,"Inbound marketing, sales, and service platform with robust customer data.","OAuth 2.0, Private App Access Tokens (Bearer)",Self-serve creation of developer accounts and private app tokens inside workspace settings.,self-serve,"REST API, GraphQL API, Webhooks",No,Easy win,None,"https://developers.hubspot.com/docs/api/oauth-quickstart-guide, https://developers.hubspot.com/docs/api/graphql/graphql-overview",High,Verified self-serve private app access token setup and GraphQL endpoints.
3,CRM and Sales,Pipedrive,https://www.pipedrive.com,https://developers.pipedrive.com/docs/api/v1,Sales-focused CRM designed to help small and medium businesses manage deals.,"OAuth 2.0, Personal API Token",Self-serve developer sandbox account creation and API token generation in settings.,self-serve,"REST API, Webhooks",No,Easy win,None,https://developers.pipedrive.com/docs/api/v1,High,Verified developer sandbox token generation in account settings.
4,CRM and Sales,Attio,https://www.attio.com,https://developers.attio.com/reference/authorization,"Modern, data-driven CRM designed for real-time collaborative workspace workflows.","OAuth 2.0, API Keys (Bearer)",Self-serve creation of API keys via developer settings.,self-serve,"REST API, Webhooks",No,Easy win,None,https://developers.attio.com/reference/authorization,High,Verified Bearer authentication token creation at build.attio.com.
5,CRM and Sales,Twenty,https://twenty.com,https://docs.twenty.com/developers/api-keys,Open-source CRM platform allowing full control over database tables and integrations.,"OAuth 2.0, API Keys (Bearer)",Self-serve creation via the settings panel in self-hosted or cloud workspaces.,self-serve,"REST API, GraphQL API, Webhooks",No,Easy win,None,https://docs.twenty.com/developers/api-keys,High,Verified open-source deployment provides instant local API key generation.
6,CRM and Sales,Podio,https://www.podio.com,https://developers.podio.com/index/api,Collaborative work management platform featuring custom app builders and workspaces.,"OAuth 2.0, App Authentication (App ID + App Token)",Self-serve generation of API keys in account settings; app-specific tokens are in app settings.,self-serve,"REST API, Webhooks",No,Buildable,"Rate limits and complex hierarchical structures (workspaces, apps, items).",https://developers.podio.com/index/api,High,Verified App Auth flow using App ID and App Token.
7,CRM and Sales,Zoho CRM,https://www.zoho.com/crm,https://www.zoho.com/crm/developer/docs/api/v6/,Multichannel CRM platform serving global sales teams.,OAuth 2.0,Self-serve client registration via the Zoho API Console.,self-serve,"REST API, Webhooks",No,Buildable,"Requires handling of regional domain routing (US, EU, IN, AU, JP) for API endpoints.",https://www.zoho.com/crm/developer/docs/api/v6/,High,Checked Zoho developer docs and regional routing setup.
8,CRM and Sales,Close,https://www.close.com,https://developer.close.com/#authentication,"Inside sales CRM featuring built-in calling, email, and SMS outreach features.","API Keys, OAuth 2.0",Self-serve generation of API keys directly in the user settings panel.,self-serve,"REST API, Webhooks",No,Easy win,None,https://developer.close.com/#authentication,High,Verified API keys use HTTP Basic Auth with the key as the username.
9,CRM and Sales,Copper,https://www.copper.com,https://developer.copper.com/#authentication,Google-centric CRM that integrates deeply with Google Workspace apps.,"API Keys (Custom Header), OAuth 2.0",Self-serve API keys in settings; OAuth apps require developer registration.,self-serve,"REST API, Webhooks",No,Easy win,None,https://developer.copper.com/#authentication,High,Checked custom headers: X-PW-AccessToken and X-PW-UserEmail.
10,CRM and Sales,DealCloud,https://api.docs.dealcloud.com,https://api.docs.dealcloud.com,"CRM and deal management platform customized for private equity, IB, and corporate development.",OAuth 2.0 Client Credentials,Gated. API keys must be enabled by a System Admin in user group configuration.,gated,"REST API, Swagger/OpenAPI docs",No,Buildable with caveats,Gated developer access requiring enterprise permissions and administrator setup.,https://api.docs.dealcloud.com,Medium,Confirmed that active enterprise client credentials are required for integration.
